Character,Power_Level,Saga_or_Movie,Dragon_Ball_Series
Chiaotzu,"1,000,000",Shadow Dragon Saga,Dragon Ball GT
Yamcha,"500,000",Shadow Dragon Saga,Dragon Ball GT
Goku's Universal Spirit Bomb,"700,000,000,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Piccolo,"20,000,000,000",Shadow Dragon Saga,Dragon Ball GT
Master Roshi,139,Shadow Dragon Saga,Dragon Ball GT
Krillin,"78,000",Shadow Dragon Saga,Dragon Ball GT
"Goku (supressed, fighting Krillin)","60,000",Shadow Dragon Saga,Dragon Ball GT
Piccolo (weighted),322,Movie 1: Dead Zone,Dragon Ball Z
Ginger,265,Movie 1: Dead Zone,Dragon Ball Z
Nicky,250,Movie 1: Dead Zone,Dragon Ball Z
Sansho,245,Movie 1: Dead Zone,Dragon Ball Z
Gohan,1,Movie 1: Dead Zone,Dragon Ball Z
Ox King,70,Movie 1: Dead Zone,Dragon Ball Z
Chi-chi,130,Movie 1: Dead Zone,Dragon Ball Z
Goku (weighted),330,Movie 1: Dead Zone,Dragon Ball Z
Kami,220,Movie 1: Dead Zone,Dragon Ball Z
Garlic Jr.,310,Movie 1: Dead Zone,Dragon Ball Z
Ginger (buff),300,Movie 1: Dead Zone,Dragon Ball Z
Nicky (buff),290,Movie 1: Dead Zone,Dragon Ball Z
Sansho (buff),275,Movie 1: Dead Zone,Dragon Ball Z
Krillin,202,Movie 1: Dead Zone,Dragon Ball Z
Super Garlic Jr.,800,Movie 1: Dead Zone,Dragon Ball Z
Goku,412,Movie 1: Dead Zone,Dragon Ball Z
Piccolo,404,Movie 1: Dead Zone,Dragon Ball Z
 Gohan (angry),"1,300",Movie 1: Dead Zone,Dragon Ball Z
Gohan (supressed),300,Movie 2: World's Strongest,Dragon Ball Z
Bio Men,"1,250",Movie 2: World's Strongest,Dragon Ball Z
Piccolo (weighted),"5,600",Movie 2: World's Strongest,Dragon Ball Z
Bulma,1.5,Movie 2: World's Strongest,Dragon Ball Z
Master Roshi,"4,400",Movie 2: World's Strongest,Dragon Ball Z
Dr. Kochin,200,Movie 2: World's Strongest,Dragon Ball Z
Miskatsun,"6,200",Movie 2: World's Strongest,Dragon Ball Z
Ebifurya,"7,200",Movie 2: World's Strongest,Dragon Ball Z
Kishime,"7,500",Movie 2: World's Strongest,Dragon Ball Z
Goku,"8,200",Movie 2: World's Strongest,Dragon Ball Z
Gohan,"1,850",Movie 2: World's Strongest,Dragon Ball Z
Krillin,"1,770",Movie 2: World's Strongest,Dragon Ball Z
Goku (Kaio-ken),"12,300",Movie 2: World's Strongest,Dragon Ball Z
Goku (Kaio-ken x2),"16,400",Movie 2: World's Strongest,Dragon Ball Z
"Piccolo (controlled, weighted)","6,225",Movie 2: World's Strongest,Dragon Ball Z
Piccolo (controlled),"8,300",Movie 2: World's Strongest,Dragon Ball Z
Piccolo,"7,000",Movie 2: World's Strongest,Dragon Ball Z
Dr. Wheelo,"23,000",Movie 2: World's Strongest,Dragon Ball Z
Gohan (angry),"13,500",Movie 2: World's Strongest,Dragon Ball Z
Student-Teacher Kamehameha,"17,000",Movie 2: World's Strongest,Dragon Ball Z
Goku (Kaio-ken x3),"24,600",Movie 2: World's Strongest,Dragon Ball Z
Goku's Kaio-ken x3 Kamehameha,"32,000",Movie 2: World's Strongest,Dragon Ball Z
Dr. Wheelo's blast,"38,000",Movie 2: World's Strongest,Dragon Ball Z
Goku's Kaio-ken x4 Kamehameha,"45,000",Movie 2: World's Strongest,Dragon Ball Z
Dr. Wheelo,"40,000",Movie 2: World's Strongest,Dragon Ball Z
Goku's Spirit Bomb,"400,000",Movie 2: World's Strongest,Dragon Ball Z
Gohan (angry),"20,000",Movie 2: World's Strongest,Dragon Ball Z
Dr. Wheelo's Planet Geyser,"65,000",Movie 2: World's Strongest,Dragon Ball Z
Goku's Spirit Bomb,"300,000",Movie 2: World's Strongest,Dragon Ball Z
Gohan,"750,000",Movie 3: The Tree of Might,Dragon Ball Z
Krillin,"75,000",Movie 3: The Tree of Might,Dragon Ball Z
Chi-chi,130,Movie 3: The Tree of Might,Dragon Ball Z
Goku,"1,500,000",Movie 3: The Tree of Might,Dragon Ball Z
Amond,"40,000",Movie 3: The Tree of Might,Dragon Ball Z
Daiz,"34,000",Movie 3: The Tree of Might,Dragon Ball Z
Cacao,"28,000",Movie 3: The Tree of Might,Dragon Ball Z
Rasin,"65,000",Movie 3: The Tree of Might,Dragon Ball Z
Lakasei,"65,000",Movie 3: The Tree of Might,Dragon Ball Z
Tien,"100,000",Movie 3: The Tree of Might,Dragon Ball Z
Yamcha,"68,000",Movie 3: The Tree of Might,Dragon Ball Z
Chiaotzu,"25,000",Movie 3: The Tree of Might,Dragon Ball Z
Turles,"1,000,000",Movie 3: The Tree of Might,Dragon Ball Z
Piccolo,"600,000",Movie 3: The Tree of Might,Dragon Ball Z
Great Ape Gohan,"7,500,000",Movie 3: The Tree of Might,Dragon Ball Z
Goku (Kaio-ken),"3,000,000",Movie 3: The Tree of Might,Dragon Ball Z
Turles (after eating fruit),"3,000,000",Movie 3: The Tree of Might,Dragon Ball Z
Goku (Kaio-ken x10),"60,000,000",Movie 3: The Tree of Might,Dragon Ball Z
Goku's Spirit Bomb,"600,000,000",Movie 3: The Tree of Might,Dragon Ball Z
Piccolo (weighted),"600,000",Movie 4: Lord Slug,Dragon Ball Z
Gohan,"1,500,000",Movie 4: Lord Slug,Dragon Ball Z
Bulma,1.5,Movie 4: Lord Slug,Dragon Ball Z
Krillin,"150,000",Movie 4: Lord Slug,Dragon Ball Z
Goku,"3,000,000",Movie 4: Lord Slug,Dragon Ball Z
Chi-chi,130,Movie 4: Lord Slug,Dragon Ball Z
Slug Soldiers,"1,000",Movie 4: Lord Slug,Dragon Ball Z
Lord Slug (old),"8,000,000",Movie 4: Lord Slug,Dragon Ball Z
Commander Zeeun,"30,000",Movie 4: Lord Slug,Dragon Ball Z
Wings,"24,000",Movie 4: Lord Slug,Dragon Ball Z
Medamatcha,"20,000",Movie 4: Lord Slug,Dragon Ball Z
Angila,"22,500",Movie 4: Lord Slug,Dragon Ball Z
Lord Slug,"56,000,000",Movie 4: Lord Slug,Dragon Ball Z
Goku (FSSJ),"105,000,000",Movie 4: Lord Slug,Dragon Ball Z
Lord Slug (Giant),"150,000,000",Movie 4: Lord Slug,Dragon Ball Z
Piccolo,"1,200,000",Movie 4: Lord Slug,Dragon Ball Z
Goku (Piccolo's energy),"106,200,000",Movie 4: Lord Slug,Dragon Ball Z
Goku (Kaio-ken x20),"4,248,000,000",Movie 4: Lord Slug,Dragon Ball Z
Lord Slug (injured),"50,000,000",Movie 4: Lord Slug,Dragon Ball Z
Goku's Spirit Bomb,"2,000,000,000",Movie 4: Lord Slug,Dragon Ball Z
Frieza,"530,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Master Roshi,139,Movie 5: Cooler's Revenge,Dragon Ball Z
Goku,"10,000,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Gohan,"6,000,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Krillin,"150,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Doore,"1,085,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Neiz,"1,070,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Salza,"1,150,000",Movie 5: Cooler's Revenge,Dragon Ball Z
"Goku (supressed, fighting Armored Squad)","2,800,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Cooler (supressed),"16,800,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Piccolo (weighted),"5,150,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Piccolo,"180,000,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Goku (Zenkai),"12,000,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Cooler (full power),"200,000,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Cooler (transformed),"300,000,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Goku (Kaio-ken x10),"120,000,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Goku (Kaio-ken x20),"240,000,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Goku's Kaio-ken x20 Kamehameha,"400,000,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Goku (SSJ),"600,000,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Cooler's Supernova,"500,000,000",Movie 5: Cooler's Revenge,Dragon Ball Z
"Cooler (full power, never used)","470,000,000",Movie 5: Cooler's Revenge,Dragon Ball Z
Namekian Warrior,"5,000",Movie 6: The Return of Cooler,Dragon Ball Z
Master Roshi,139,Movie 6: The Return of Cooler,Dragon Ball Z
Yajirobe,"3,000",Movie 6: The Return of Cooler,Dragon Ball Z
Krillin,"450,000",Movie 6: The Return of Cooler,Dragon Ball Z
Gohan,"350,000,000",Movie 6: The Return of Cooler,Dragon Ball Z
Goku,"400,000,000",Movie 6: The Return of Cooler,Dragon Ball Z
Piccolo (weighted),"14,400,000",Movie 6: The Return of Cooler,Dragon Ball Z
Cyclopian Guards,"800,000,000",Movie 6: The Return of Cooler,Dragon Ball Z
Piccolo,"7,200,000,000",Movie 6: The Return of Cooler,Dragon Ball Z
Meta Cooler,"5,200,000,000",Movie 6: The Return of Cooler,Dragon Ball Z
Goku (Kaio-ken x10),"4,000,000,000",Movie 6: The Return of Cooler,Dragon Ball Z
Goku (MSSJ),"20,000,000,000",Movie 6: The Return of Cooler,Dragon Ball Z
Meta Cooler (recovered),"10,000,000,000",Movie 6: The Return of Cooler,Dragon Ball Z
Vegeta,"205,200,000",Movie 6: The Return of Cooler,Dragon Ball Z
Vegeta (MSSJ),"10,260,000,000",Movie 6: The Return of Cooler,Dragon Ball Z
Master Roshi,139,Movie 7: Super Android 13,Dragon Ball Z
Krillin,"450,000",Movie 7: Super Android 13,Dragon Ball Z
Trunks,"18,000,000",Movie 7: Super Android 13,Dragon Ball Z
Gohan,"9,000,000",Movie 7: Super Android 13,Dragon Ball Z
Goku,"18,000,000",Movie 7: Super Android 13,Dragon Ball Z
Vegeta,"17,100,000",Movie 7: Super Android 13,Dragon Ball Z
Androd 15 (supressed),"28,000,000",Movie 7: Super Android 13,Dragon Ball Z
Android 14 (supressed),"27,000,000",Movie 7: Super Android 13,Dragon Ball Z
Goku (SSJ),"900,000,000",Movie 7: Super Android 13,Dragon Ball Z
Trunks (SSJ),"900,000,000",Movie 7: Super Android 13,Dragon Ball Z
Vegeta (SSJ),"855,000,000",Movie 7: Super Android 13,Dragon Ball Z
Android 13 (full power),"620,000,000",Movie 7: Super Android 13,Dragon Ball Z
Android 14 (full power),"570,000,000",Movie 7: Super Android 13,Dragon Ball Z
Android 15 (full power),"580,000,000",Movie 7: Super Android 13,Dragon Ball Z
Piccolo,"720,000,000",Movie 7: Super Android 13,Dragon Ball Z
Super Android 13,"1,770,000,000",Movie 7: Super Android 13,Dragon Ball Z
Goku's Spirit Bomb,"2,000,000,000",Movie 7: Super Android 13,Dragon Ball Z
"Goku (SSJ, Spirit Bomb absorbed)","2,650,000,000",Movie 7: Super Android 13,Dragon Ball Z
Goku,"400,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Krillin,"500,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Master Roshi,139,Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Gohan,"350,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Future Trunks,"108,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Vegeta,"205,200,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
King Kai,"3,500",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Paragus,"30,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Broly (supressed),"12,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Paragus (flash back),"4,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
King Vegeta,"10,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Broly (baby),"10,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Goku (baby),2,Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Broly (kid),"4,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Broly,"340,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Broly (SSJ),"17,000,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Goku,"400,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Broly (between SSJ and LSSJ),"28,000,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Vegeta (ASSJ),"15,390,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
"Broly (LSSJ, suppressed)","30,750,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Gohan,"350,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Goku (MSSJ),"20,000,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Gohan (MSSJ),"17,500,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Trunks (ASSJ),"8,100,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Master Roshi (max power),360,Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Piccolo (weighted),"14,400,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Piccolo (full power),"7,200,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Broly (LSSJ),"51,000,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Vegeta (ASSJ),"15,390,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
"Goku (MSSJ, Z Fighters energy absorbed)","70,000,000,000",Movie 8: Broly - The Legendary Super Saiyan,Dragon Ball Z
Goku,"400,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Gohan,"350,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Chi-chi,130,OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Mr. Popo,"1,030",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Bulma,1.5,OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Piccolo (weighted),"14,400,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Monsters,"300,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Goku (MSSJ),"20,000,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Gohan (MSSJ),"17,500,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Vegeta (ASSJ),"15,390,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Future Trunks (ASSJ),"8,100,00,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Piccolo (full power),"7,200,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Lord Slug,"150,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Turles,"45,00,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Frieza,"120,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Cooler,"470,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
King Kai,"3,500",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Vegeta,"205,200,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Future Trunks,"108,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Hatchiyack,"80,000,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Goku's Super Kamehameha,"25,300,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Gohan's Super Masenko,"24,000,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Vegeta's Final Flash,"14,400,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Future Trunks' Burning Attack,"13,800,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
Piccolo's Special Beam Cannon (remake),"13,500,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
King Kai,"3,500",Movie 9: Bojack Unbound,Dragon Ball Z
Goku,"400,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Mr. Satan,40,Movie 9: Bojack Unbound,Dragon Ball Z
Krillin,"500,000",Movie 9: Bojack Unbound,Dragon Ball Z
Chi-chi,130,Movie 9: Bojack Unbound,Dragon Ball Z
Master Roshi,139,Movie 9: Bojack Unbound,Dragon Ball Z
Yamcha,"450,000",Movie 9: Bojack Unbound,Dragon Ball Z
Gohan,"360,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Tien,"600,000",Movie 9: Bojack Unbound,Dragon Ball Z
"Trunks (supressed, fighting Tien)","1,150,000",Movie 9: Bojack Unbound,Dragon Ball Z
Tien (Spirit Burst),"1,800,000",Movie 9: Bojack Unbound,Dragon Ball Z
Trunks (SSJ),"5,400,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Vegeta,"205,200,000",Movie 9: Bojack Unbound,Dragon Ball Z
Piccolo (weighted),"14,400,000",Movie 9: Bojack Unbound,Dragon Ball Z
Zangya,"1,310,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Gohan,"360,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Trunks,"108,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Kogu (full power form),"4,000,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Trunks (SSJ),"5,400,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Bujin,"1,340,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Bido,"1,340,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
"Gohan (MSSJ, supressed)","15,000,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Piccolo (full power),"7,200,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Bojack,"20,000,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Trunks (ASSJ),"8,100,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Vegeta (ASSJ),"15,390,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Bojack (full power form),"30,000,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
"Gohan (MSSJ, full power)","18,000,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Goku (punching Bojack),"4,300,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Gohan (SSJ2),"36,000,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Videl,5,Movie 10: Broly- The Second Coming,Dragon Ball Z
Trunks,"10,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Goten,"9,800,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Broly (Zenkai),"500,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Goten (SSJ),"490,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Trunks (SSJ),"500,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Broly (SSJ),"25,000,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Gohan (fighting Broly),"360,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Gohan (SSJ2),"36,000,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Broly (LSSJ),"75,000,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Krillin,"1,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Gohan (MSSJ),"18,000,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Broly's Omega Blaster,"130,000,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Goku,"2,800,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Goku (MSSJ),"140,000,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Family Kamehameha,"300,000,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Mr. Satan,7,Movie 11: Bio-Broly,Dragon Ball Z
Android 18,"8,000,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Krillin,"1,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Goten,"9,800,000",Movie 11: Bio-Broly,Dragon Ball Z
Trunks,"10,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Bio-Broly,"700,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Goten (SSJ),"490,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Trunks (SSJ),"500,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Krillin's Kamehameha,"8,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Goten's Kamehameha,"950,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Trunk's Kamehameha,"980,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Goten's Super Kamehameha,"3,000,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Trunk's Big Tree Cannon,"3,150,000,000",Movie 11: Bio-Broly,Dragon Ball Z
King Yenma,"1,700",Movie 12: Fusion Reborn,Dragon Ball Z
King Kai,"3,500",Movie 12: Fusion Reborn,Dragon Ball Z
Goku,"2,800,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Pikkon (supressed),"1,600,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Gohan,"360,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Goten,"9,800,000",Movie 12: Fusion Reborn,Dragon Ball Z
Videl,5,Movie 12: Fusion Reborn,Dragon Ball Z
Chi-chi,130,Movie 12: Fusion Reborn,Dragon Ball Z
Janemba,"400,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Mr. Satan,6,Movie 12: Fusion Reborn,Dragon Ball Z
Frieza,"140,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Gohan (fighting Frieza),"360,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Trunks,"10,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Pikkon (full power),"40,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Goku (MSSJ),"140,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Goku (SSJ2),"280,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Goku (SSJ3),"1,120,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Goten (SSJ),"490,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Trunks (SSJ),"500,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Super Janemba (supressed),"1,500,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Super Janemba (supressed),"3,000,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Super Janemba (supressed),"7,500,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Vegeta (SSJ2),"280,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Vegeta,"2,800,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Veku,"56,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Gogeta (MSSJ),"28,000,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Gotenks (SSJ),"99,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Super Janemba (full power),"14,000,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Great Saiyaman,200,Movie 13: Wrath of the Dragon,Dragon Ball Z
Great Saiyawoman,5,Movie 13: Wrath of the Dragon,Dragon Ball Z
Hoi,20,Movie 13: Wrath of the Dragon,Dragon Ball Z
Bulma,1.5,Movie 13: Wrath of the Dragon,Dragon Ball Z
Goku,"2,800,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Goten,"19,600,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Krillin,"2,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Trunks,"20,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Gohan,"40,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Tapion,"3,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Master Roshi,139,Movie 13: Wrath of the Dragon,Dragon Ball Z
Hirudegarn (legs),"200,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Ultimate Gohan,"4,000,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Goku (SSJ2),"280,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Goten (SSJ),"980,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Vegeta,"2,800,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Vegeta (SSJ2),"280,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Hirudegarn,"1,000,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Trunks (SSJ),"200,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Gotenks (SSJ3),"1,584,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Hirudegarn (transformed),"2,000,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Goku (SSJ3),"1,120,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Goku's Super Dragon Fist,"3,500,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Bardock (Great Ape),"50,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Tora (Great Ape),"40,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Shugesh (Great Ape),"35,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Borgos (Great Ape),"38,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Fasha (Great Ape),"32,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Bardock,"5,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Tora,"4,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Shugesh,"3,500",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Borgos,"3,800",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Fasha,"3,200",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Toolo,"4,500",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Saibamen,"1,200",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Vegeta,"12,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Nappa (calm),"4,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Frieza (calm),"220,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Zarbon,"22,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Dodoria,"21,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Bardock (Zenkai),"10,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Horned gang leader,"7,800",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Appule look-alike,"5,800",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Green fish-like soldier,"6,400",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Frog-like soldier,"6,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Dodoria's mouth blast,"22,500",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Frieza,"530,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Bardock's Final Spirit Cannon,"24,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Frieza's Supernova,"750,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
